label,major_axis_length,minor_axis_length,area,perimeter,ratio,roundness,maj_len,min_len,min_pos,min_len05,ratio_contour,hue_mean,hue_std,hue_skew,sat_mean,sat_std,sat_skew,val_mean,val_std,val_skew,int_mean,int_std,int_skew,name,location,img_no
15,0.7253,0.4554,0.2524,2.1247,0.6279,0.7026,0.7399,0.4716,0.37,0.4291,0.6374,0.1497,0.0499,9.7727,0.5535,0.2184,-0.8691,0.306,0.0802,0.5402,36.2783,22.428,1.1101,Acer pseudoplatanus,1,2
16,0.7062,0.3469,0.1895,1.9775,0.4912,0.609,0.6989,0.3594,0.49,0.3508,0.5142,0.1628,0.0491,10.9455,0.4674,0.1895,-0.5495,0.2923,0.1011,0.887,40.9875,22.1105,1.0355,Acer pseudoplatanus,1,2
17,0.9644,0.6855,0.5024,3.002,0.7108,0.7005,0.9841,0.7019,0.23,0.613,0.7132,0.133,0.0429,12.1342,0.5406,0.1957,-0.9069,0.2534,0.1042,0.9671,31.2657,22.2262,1.5928,Acer pseudoplatanus,1,2
18,0.842,0.6391,0.409,2.7438,0.759,0.6827,0.8811,0.6335,0.15,0.5871,0.719,0.1856,0.0314,5.3741,0.6247,0.1932,-1.2654,0.2381,0.0662,1.0571,24.6261,18.2398,2.0778,Acer pseudoplatanus,1,2
19,1.0005,0.6191,0.477,3.0627,0.6188,0.639,1.0956,0.6115,0.5,0.6033,0.5581,0.1658,0.0501,10.9333,0.5927,0.2056,-1.1305,0.2679,0.0841,0.7793,28.8975,19.7418,1.7752,Acer pseudoplatanus,1,2
20,0.7086,0.6409,0.3453,2.6966,0.9045,0.5967,0.7414,0.6383,0.32,0.6096,0.8609,0.1471,0.0444,7.6356,0.5844,0.2249,-0.8631,0.2746,0.0976,0.5751,29.8456,21.4828,1.6648,Acer pseudoplatanus,1,2
21,0.7293,0.4417,0.2518,2.0949,0.6056,0.721,0.744,0.4489,0.62,0.4305,0.6034,0.1493,0.0563,9.3208,0.5556,0.2237,-0.8265,0.2968,0.092,0.4335,34.5253,22.1871,1.3986,Acer pseudoplatanus,1,2
22,0.5591,0.2703,0.1172,1.5374,0.4835,0.6231,0.5728,0.2781,0.56,0.2725,0.4855,0.1516,0.0762,8.2507,0.4765,0.2342,-0.3758,0.2697,0.0869,0.3917,36.359,21.7434,1.3501,Acer pseudoplatanus,1,2
23,0.6315,0.4887,0.2369,2.2601,0.7739,0.5828,0.6915,0.511,0.44,0.5086,0.739,0.1549,0.0555,8.1972,0.553,0.2216,-0.7777,0.2564,0.0888,0.8878,31.7042,23.4385,1.4011,Acer pseudoplatanus,1,2
24,0.716,0.5035,0.2772,2.3762,0.7032,0.6169,0.7774,0.515,0.35,0.4828,0.6625,0.1515,0.0618,10.4775,0.6104,0.2224,-1.1017,0.3232,0.0892,0.634,32.5975,21.6112,1.3698,Acer pseudoplatanus,1,2
25,0.7366,0.5835,0.3249,2.5476,0.7922,0.6291,0.7613,0.5746,0.58,0.5441,0.7548,0.1781,0.0383,5.2219,0.5855,0.1995,-1.1321,0.2731,0.0948,1.3568,31.0408,22.5717,1.5447,Acer pseudoplatanus,1,2
26,0.7673,0.5382,0.3113,2.5601,0.7014,0.5969,0.847,0.5391,0.52,0.526,0.6365,0.1359,0.0724,8.5129,0.5162,0.2294,-0.4222,0.2811,0.094,-0.0326,34.345,21.4756,1.4811,Acer pseudoplatanus,1,2
27,0.8366,0.5566,0.358,2.8399,0.6653,0.5578,0.8509,0.6694,0.5,0.5227,0.7867,0.1418,0.0705,8.6775,0.5102,0.2329,-0.6467,0.2994,0.1224,0.7261,38.3284,24.0292,0.9621,Acer pseudoplatanus,1,2
28,0.5437,0.4722,0.1997,1.8608,0.8685,0.7248,0.5671,0.4811,0.51,0.4775,0.8484,0.1456,0.0608,9.1858,0.5294,0.2186,-0.722,0.3237,0.0887,-0.2722,39.2275,21.8243,1.1099,Acer pseudoplatanus,1,2
29,0.6468,0.424,0.2089,2.1302,0.6555,0.5785,0.6589,0.4328,0.28,0.4093,0.6569,0.1432,0.0555,9.7036,0.5213,0.2223,-0.6951,0.3163,0.1065,0.4621,39.4585,24.3176,1.1749,Acer pseudoplatanus,1,2
30,0.6567,0.5411,0.2742,2.1885,0.824,0.7194,0.6822,0.5541,0.18,0.526,0.8122,0.1299,0.071,8.0751,0.473,0.2343,-0.336,0.2628,0.121,1.0217,35.2255,22.8221,1.3995,Acer pseudoplatanus,1,2
31,0.6731,0.4349,0.218,2.2237,0.6461,0.554,0.6953,0.4816,0.32,0.4454,0.6927,0.1595,0.0773,8.2463,0.5774,0.246,-0.9547,0.3238,0.0764,-0.3718,34.7689,21.1912,1.3269,Acer pseudoplatanus,1,2
32,0.5005,0.3925,0.1505,1.6173,0.7842,0.723,0.5121,0.3876,0.17,0.362,0.7569,0.1499,0.0617,8.9758,0.5508,0.2335,-0.9089,0.2873,0.0858,0.2338,33.8021,22.3897,1.4782,Acer pseudoplatanus,1,2
1,0.5079,0.4783,0.1838,1.9072,0.9417,0.635,0.5617,0.4684,0.31,0.4414,0.8339,0.167,0.02,-0.8476,0.2297,0.1172,-0.5663,0.3352,0.0611,1.1756,66.5779,20.3128,1.6599,Acer pseudoplatanus,1,3
2,0.6968,0.3535,0.1905,1.8755,0.5073,0.6806,0.7066,0.3653,0.62,0.3469,0.517,0.1441,0.0293,2.8046,0.2184,0.0996,-0.2995,0.356,0.079,0.9777,70.9552,19.0944,1.4079,Acer pseudoplatanus,1,3
3,0.5087,0.3476,0.1381,1.4942,0.6833,0.7773,0.5124,0.3671,0.4,0.3536,0.7164,0.1513,0.0298,0.4107,0.2326,0.1279,-0.2118,0.3723,0.0653,0.1296,72.9053,19.3625,1.3774,Acer pseudoplatanus,1,3
4,0.6558,0.2678,0.132,1.7328,0.4084,0.5524,0.6791,0.2829,0.48,0.2574,0.4166,0.1342,0.038,7.2843,0.2137,0.1087,-0.2623,0.3496,0.0671,0.8407,70.4759,19.0817,1.2758,Acer pseudoplatanus,1,3
5,0.8077,0.5315,0.3273,2.5236,0.658,0.6458,0.8647,0.5572,0.4,0.5245,0.6444,0.156,0.037,8.6268,0.2533,0.1158,-0.6613,0.3525,0.0609,0.8352,67.3386,17.6773,1.6237,Acer pseudoplatanus,1,3
6,0.6405,0.2876,0.1428,1.7008,0.449,0.6203,0.668,0.3125,0.43,0.2935,0.4678,0.1564,0.028,3.727,0.2174,0.0992,-0.4963,0.3777,0.0701,0.7325,75.5806,18.5219,1.1138,Acer pseudoplatanus,1,3
7,0.7151,0.3633,0.2024,2.009,0.508,0.6302,0.7302,0.3766,0.56,0.3697,0.5157,0.1264,0.0227,0.5275,0.2366,0.1041,-0.2531,0.3672,0.0645,0.698,71.8349,18.7987,1.4858,Acer pseudoplatanus,1,3
8,0.6253,0.3337,0.1613,1.7414,0.5337,0.6684,0.6294,0.348,0.51,0.3268,0.5529,0.1376,0.0252,0.1335,0.2322,0.0924,-0.579,0.3754,0.0702,0.8335,73.5667,17.2354,1.2254,Acer pseudoplatanus,1,3
9,0.573,0.314,0.1344,1.7146,0.548,0.5745,0.5939,0.3144,0.27,0.2861,0.5294,0.1627,0.0177,-1.7475,0.2582,0.1115,-0.517,0.3869,0.0562,0.2141,73.4188,17.5857,1.419,Acer pseudoplatanus,1,3
10,0.6711,0.3307,0.1718,2.0541,0.4928,0.5117,0.7105,0.3836,0.39,0.3508,0.5399,0.1379,0.039,9.8131,0.215,0.1101,0.0157,0.3613,0.0697,0.5358,71.9356,16.6815,1.6259,Acer pseudoplatanus,1,3
11,0.5792,0.4861,0.2162,1.9919,0.8393,0.6847,0.627,0.4904,0.45,0.4806,0.7821,0.1305,0.0561,11.6972,0.2138,0.0978,-0.4889,0.3709,0.0576,0.5421,74.8044,17.6698,1.1074,Acer pseudoplatanus,1,3
12,0.6456,0.4346,0.2034,2.1084,0.6732,0.575,0.7101,0.4345,0.52,0.399,0.6119,0.1577,0.0243,3.9197,0.2473,0.1078,-0.3592,0.3642,0.0559,0.6614,70.1902,17.3973,1.6314,Acer pseudoplatanus,1,3
13,0.5732,0.3005,0.1311,1.6295,0.5242,0.6204,0.57,0.3157,0.46,0.2909,0.5539,0.1379,0.0249,-0.4796,0.27,0.1119,-0.5191,0.4353,0.0773,0.2676,80.8782,18.4635,0.6135,Acer pseudoplatanus,1,3
14,0.7966,0.5788,0.3551,2.84,0.7266,0.5533,0.8393,0.6094,0.53,0.6001,0.7261,0.1362,0.0305,5.4336,0.262,0.1285,-0.3839,0.3841,0.0831,0.4902,72.3174,21.126,0.9949,Acer pseudoplatanus,1,3
15,0.6104,0.3982,0.1874,1.8166,0.6524,0.7136,0.6474,0.3994,0.19,0.3732,0.6169,0.1575,0.0192,5.3097,0.2748,0.1008,-0.8355,0.3776,0.0531,0.8227,70.3528,17.5239,1.589,Acer pseudoplatanus,1,3
16,0.879,0.5365,0.3666,2.5298,0.6104,0.7198,0.9231,0.5564,0.56,0.5447,0.6028,0.1382,0.0344,10.1085,0.2711,0.1013,-0.5052,0.371,0.0631,0.5244,68.7754,15.2514,1.6146,Acer pseudoplatanus,1,3
17,0.6514,0.4408,0.2178,2.151,0.6767,0.5915,0.701,0.4692,0.44,0.4314,0.6693,0.1401,0.0201,-0.2173,0.2696,0.1146,-0.5163,0.3958,0.0641,0.2101,73.6589,17.4775,1.3457,Acer pseudoplatanus,1,3
18,0.6608,0.3204,0.1618,2.0178,0.4849,0.4994,0.7135,0.37,0.45,0.3433,0.5186,0.1291,0.0261,0.605,0.24,0.1057,-0.5053,0.3804,0.0663,1.0819,73.7167,16.9773,1.3167,Acer pseudoplatanus,1,3
